neighbourhood_cleansed,price
Grand Boulevard,80.0
Lake View,50.0
Logan Square,79.0
Grand Boulevard,74.0
Lincoln Park,335.0
Logan Square,93.0
Irving Park,88.0
North Lawndale,39.0
Edgewater,45.0
Lake View,357.0
Lincoln Park,85.0
West Town,50.0
Portage Park,106.0
Mckinley Park,474.0
Bridgeport,53.0
Lake View,55.0
Near North Side,275.0
West Town,606.0
Edgewater,86.0
Englewood,42.0
Near West Side,72.0
North Center,128.0
Uptown,919.0
Lincoln Park,200.0
Jefferson Park,99.0
Lincoln Park,69.0
Lincoln Park,69.0
Logan Square,85.0
Avondale,62.0
Irving Park,70.0
Logan Square,150.0
Bridgeport,200.0
Near North Side,229.0
Hyde Park,189.0
Hyde Park,207.0
Hyde Park,161.0
Edgewater,45.0
Lower West Side,85.0
West Town,96.0
South Lawndale,80.0
Hyde Park,182.0
Edgewater,126.0
Lake View,258.0
West Town,94.0
Lake View,94.0
Albany Park,98.0
West Town,213.0
Lake View,380.0
Rogers Park,135.0
Lower West Side,69.0
Near West Side,107.0
Lake View,80.0
Edgewater,109.0
Norwood Park,91.0
Logan Square,121.0
Logan Square,94.0
Grand Boulevard,118.0
North Center,129.0
Lincoln Square,135.0
West Town,779.0
North Center,285.0
Hyde Park,189.0
North Center,128.0
West Town,99.0
Lake View,657.0
West Town,842.0
Lower West Side,120.0
West Town,94.0
North Lawndale,28.0
West Town,125.0
Hyde Park,80.0
Bridgeport,53.0
Logan Square,152.0
Logan Square,99.0
Lincoln Park,104.0
Lake View,400.0
Logan Square,90.0
Lincoln Park,127.0
North Center,57.0
Rogers Park,57.0
West Town,122.0
Rogers Park,578.0
Logan Square,149.0
Kenwood,59.0
Kenwood,49.0
Kenwood,56.0
Rogers Park,52.0
Rogers Park,67.0
Rogers Park,68.0
Rogers Park,59.0
Rogers Park,58.0
Logan Square,98.0
Irving Park,65.0
Lower West Side,75.0
Logan Square,468.0
Logan Square,200.0
Lake View,157.0
Lake View,100.0
West Town,159.0
West Town,115.0
Oakland,250.0
North Center,155.0
Avondale,532.0
South Shore,183.0
Kenwood,63.0
Lincoln Park,100.0
Lincoln Square,80.0
Pullman,139.0
Edgewater,65.0
Lincoln Square,94.0
West Englewood,95.0
Rogers Park,110.0
Uptown,90.0
Edgewater,110.0
East Garfield Park,75.0
Logan Square,112.0
Edgewater,104.0
West Town,82.0
Lincoln Park,379.0
Near North Side,199.0
Albany Park,135.0
West Town,234.0
West Town,290.0
Lincoln Square,107.0
West Town,113.0
Lincoln Park,162.0
Logan Square,378.0
Avondale,40.0
Edgewater,265.0
Irving Park,100.0
Montclare,123.0
Lincoln Square,84.0
Logan Square,85.0
Hyde Park,48.0
West Town,49.0
North Center,56.0
West Town,117.0
West Town,139.0
Hyde Park,89.0
Chatham,160.0
South Shore,199.0
West Garfield Park,250.0
Edgewater,136.0
Lincoln Park,180.0
Avondale,134.0
Edgewater,126.0
Hyde Park,189.0
West Ridge,30.0
Logan Square,176.0
Lincoln Square,45.0
West Ridge,18.0
Lower West Side,80.0
West Town,70.0
Mckinley Park,85.0
Mckinley Park,70.0
Mckinley Park,85.0
Norwood Park,35.0
North Center,199.0
West Town,674.0
Norwood Park,100.0
West Ridge,52.0
Bridgeport,172.0
Avondale,79.0
Lincoln Park,51.0
Irving Park,170.0
Lake View,88.0
Lower West Side,51.0
Lower West Side,82.0
Edgewater,133.0
Hyde Park,379.0
Bridgeport,89.0
West Ridge,16.0
West Ridge,18.0
Logan Square,100.0
Lower West Side,103.0
North Center,86.0
Lake View,200.0
Lincoln Park,80.0
Lincoln Park,98.0
South Shore,86.0
West Englewood,25.0
Mckinley Park,97.0
Lake View,279.0
Portage Park,119.0
Logan Square,101.0
West Town,225.0
Irving Park,116.0
West Town,198.0
Lincoln Square,108.0
West Town,55.0
West Town,210.0
Jefferson Park,65.0
Portage Park,85.0
Grand Boulevard,165.0
Logan Square,90.0
Lake View,168.0
Armour Square,155.0
Lake View,190.0
Near North Side,163.0
Brighton Park,375.0
Logan Square,161.0
Lake View,142.0
West Town,468.0
Austin,125.0
Irving Park,307.0
Logan Square,120.0
Armour Square,69.0
Avondale,85.0
West Town,169.0
Rogers Park,235.0
Lincoln Square,126.0
Near North Side,235.0
Humboldt Park,161.0
Bridgeport,195.0
West Town,116.0
North Center,86.0
Logan Square,190.0
Logan Square,400.0
Bridgeport,169.0
Armour Square,69.0
Austin,232.0
Grand Boulevard,118.0
West Town,100.0
Grand Boulevard,53.0
Calumet Heights,300.0
Grand Boulevard,53.0
Oakland,63.0
West Town,674.0
Armour Square,59.0
Rogers Park,235.0
Uptown,79.0
Near West Side,26.0
Lincoln Square,125.0
Lincoln Park,325.0
East Garfield Park,554.0
Austin,30.0
Lincoln Park,186.0
Portage Park,145.0
Austin,30.0
Avondale,59.0
Avondale,69.0
Lincoln Park,750.0
Logan Square,171.0
Jefferson Park,96.0
Jefferson Park,96.0
Logan Square,70.0
North Center,205.0
Logan Square,109.0
Near West Side,75.0
Irving Park,104.0
Jefferson Park,64.0
West Town,133.0
Near West Side,499.0
Logan Square,165.0
Belmont Cragin,70.0
Lake View,102.0
Avondale,75.0
East Garfield Park,110.0
Irving Park,60.0
Avondale,75.0
Irving Park,49.0
Irving Park,41.0
Irving Park,46.0
West Town,94.0
Irving Park,116.0
Lake View,281.0
Lake View,211.0
Hegewisch,155.0
Near West Side,32.0
Near West Side,25.0
Douglas,140.0
Avondale,85.0
Avondale,571.0
Near West Side,25.0
Near North Side,298.0
Edgewater,118.0
Woodlawn,162.0
Avondale,109.0
West Town,135.0
Lake View,118.0
Uptown,54.0
Uptown,54.0
Near West Side,23.0
Lower West Side,120.0
Lincoln Square,160.0
Woodlawn,329.0
Logan Square,496.0
Logan Square,100.0
South Shore,143.0
Irving Park,117.0
Near West Side,99.0
West Town,999.0
Bridgeport,198.0
Near West Side,22.0
Woodlawn,159.0
Uptown,95.0
Lake View,200.0
Avondale,77.0
Logan Square,143.0
Near West Side,131.0
Lake View,299.0
Hermosa,157.0
West Town,191.0
Lake View,278.0
West Town,148.0
Lake View,406.0
Avondale,208.0
Logan Square,198.0
Kenwood,195.0
Armour Square,155.0
Belmont Cragin,150.0
West Town,528.0
West Town,59.0
Near West Side,102.0
Logan Square,229.0
Humboldt Park,80.0
Irving Park,47.0
Jefferson Park,80.0
Woodlawn,120.0
West Town,117.0
Near North Side,130.0
Irving Park,91.0
West Town,225.0
Near North Side,312.0
Belmont Cragin,150.0
Irving Park,369.0
Douglas,204.0
Lower West Side,83.0
West Town,1075.0
Near North Side,115.0
Uptown,100.0
Lower West Side,175.0
Lincoln Park,289.0
South Shore,76.0
Jefferson Park,86.0
Grand Boulevard,93.0
Archer Heights,75.0
Douglas,110.0
Near North Side,110.0
West Town,119.0
Fuller Park,25.0
Logan Square,97.0
North Center,597.0
Lower West Side,12.0
Lincoln Park,321.0
Jefferson Park,83.0
Rogers Park,493.0
South Lawndale,135.0
West Town,59.0
Lake View,181.0
Lincoln Park,209.0
Near West Side,65.0
Logan Square,200.0
Lake View,199.0
Lincoln Square,151.0
Irving Park,289.0
Lake View,140.0
Norwood Park,71.0
West Garfield Park,32.0
Logan Square,59.0
South Shore,331.0
Near West Side,248.0
Belmont Cragin,109.0
West Pullman,125.0
Irving Park,143.0
South Lawndale,129.0
Lake View,121.0
Logan Square,200.0
Grand Boulevard,117.0
Lake View,143.0
Oakland,48.0
Lake View,99.0
Near West Side,72.0
Lake View,707.0
West Town,179.0
North Lawndale,45.0
Hyde Park,40.0
North Center,157.0
Lower West Side,70.0
Uptown,101.0
Auburn Gresham,59.0
Near West Side,130.0
Avondale,63.0
Uptown,95.0
Uptown,297.0
Irving Park,110.0
Bridgeport,183.0
West Town,46.0
Lake View,149.0
Lincoln Park,329.0
North Center,110.0
Near North Side,954.0
Auburn Gresham,79.0
Avondale,134.0
Lincoln Park,599.0
Irving Park,200.0
Rogers Park,60.0
West Town,131.0
North Center,195.0
Logan Square,600.0
West Town,175.0
West Town,151.0
West Town,164.0
West Town,185.0
West Town,167.0
West Town,175.0
West Town,144.0
West Town,160.0
West Town,183.0
Lower West Side,121.0
Bridgeport,49.0
Lake View,123.0
Bridgeport,118.0
Washington Heights,29.0
Near West Side,569.0
Humboldt Park,116.0
Lake View,57.0
Lincoln Square,121.0
Uptown,120.0
Lake View,165.0
Lower West Side,93.0
West Town,102.0
Avondale,152.0
Jefferson Park,130.0
Near West Side,57.0
Near West Side,50.0
Lincoln Park,195.0
Edgewater,62.0
Portage Park,73.0
Belmont Cragin,122.0
Portage Park,364.0
Uptown,123.0
Washington Heights,34.0
Jefferson Park,137.0
Lake View,120.0
Irving Park,60.0
West Town,145.0
Bridgeport,125.0
Lincoln Park,60.0
Edgewater,195.0
West Garfield Park,120.0
Near North Side,91.0
West Town,89.0
North Lawndale,150.0
East Garfield Park,26.0
East Garfield Park,23.0
Logan Square,118.0
Irving Park,68.0
Kenwood,115.0
West Town,749.0
Lower West Side,129.0
Lake View,58.0
Logan Square,70.0
Logan Square,69.0
Armour Square,59.0
Grand Boulevard,88.0
West Town,79.0
Logan Square,130.0
Near West Side,50.0
West Ridge,80.0
Irving Park,103.0
Brighton Park,221.0
Irving Park,106.0
Near North Side,249.0
Uptown,484.0
Lake View,250.0
Belmont Cragin,70.0
West Town,141.0
Near North Side,159.0
North Center,273.0
Near North Side,199.0
Lincoln Park,185.0
Portage Park,114.0
Lake View,138.0
West Town,1657.0
Irving Park,98.0
Lincoln Park,193.0
Lincoln Park,212.0
Armour Square,125.0
Woodlawn,150.0
Near South Side,155.0
Near North Side,161.0
Brighton Park,95.0
Near North Side,101.0
Near North Side,97.0
Jefferson Park,71.0
North Center,99.0
North Center,85.0
Portage Park,98.0
East Garfield Park,151.0
West Town,134.0
Grand Boulevard,155.0
Washington Heights,35.0
Logan Square,185.0
Lincoln Square,220.0
Lake View,108.0
West Englewood,25.0
Logan Square,49.0
Near West Side,103.0
Lake View,364.0
